Date,Open,High,Low,Close,Adj Close,Volume
2022-08-08,35.727272,35.954544,35.590908,35.727272,34.278019,3262293
2022-08-09,35.727272,36.227272,35.545452,36.181816,34.714127,8987535
2022-08-10,36.181816,36.409088,35.954544,36.227272,34.757736,5880068
2022-08-11,36.272728,37.090908,36.272728,37.090908,35.586338,10216671
2022-08-14,37.090908,37.363636,36.636364,36.772728,35.281063,8740202
2022-08-15,36.727272,36.772728,36.227272,36.772728,35.281063,5539893
2022-08-16,36.681816,36.681816,36.181816,36.181816,34.714127,5862157
2022-08-17,36.181816,36.227272,35.863636,36.181816,34.714127,4423357
2022-08-18,36.136364,36.272728,35.909088,35.909088,34.452457,3533927
2022-08-21,35.909088,35.954544,35.545452,35.636364,34.190804,2568305
2022-08-22,35.454544,35.454544,35.090908,35.227272,34.076298,4258024
2022-08-23,35.090908,35.363636,34.909088,34.909088,33.768513,2628820
